username,verified,followersCount,content,date,country,replyCount,retweetCount,likeCount,url,hashtags
etfAction,False,1796,"Hey @AskPayPal do you publicly disclose how much is invested into $BTC via customer apps?

Was just looking at the price of #Bitcoin since your Oct 21st announcement and... WOW!!! https://t.co/855m1lvQ5h",2020-12-30 23:47:19+00:00,Argentina,0,0,3,https://twitter.com/etfAction/status/1344429892885217281,['Bitcoin']
DerpieSloth,False,219,"Here's the thing about alt. They haven't moved or even went down. Without institutions, existing retail $BTC holders now have a larger stack to plow into alt. Alts will fly without institutions. It's all part of the game.

Institutions will not go into alt for now.",2020-12-30 23:39:46+00:00,Argentina,0,0,1,https://twitter.com/DerpieSloth/status/1344427992244633600,[]
InvestorSauce,False,1193,Some good well said information $BTC $mara $riot #btc https://t.co/JAOUmP1yVh,2020-12-30 23:41:45+00:00,Argentina,0,1,3,https://twitter.com/InvestorSauce/status/1344428491551465473,['btc']
JetmirDerBoss,False,558,"So there are a lot of rich people that bought #bitcoin and drove the price of it to around 20000 this year, sold made millions. Now with the price lowered they are heavily investing in articles online to promote Bitcoin again, to spike up the price, make a few more millions.",2020-12-01 23:15:03+00:00,France,0,0,2,https://twitter.com/JetmirDerBoss/status/1333912526090891266,['bitcoin']
crypto_stimulus,False,1199,"$BTC: $4,839.25 (403.27%)

L $26,946 | Price: $28,700.00 6.333% $1,709.21 | H $28,996
L $4,543 | Worth: $4,839.25 6.333% $288.20 | H $4,889

#bitcoin #btc #crypto",2020-12-30 23:47:20+00:00,Argentina,0,0,0,https://twitter.com/crypto_stimulus/status/1344429898706857986,"['bitcoin', 'btc', 'crypto']"
volv_e,False,90,"@Sara_Imari It’s like open source software, lets say Bitcoin. No one knows who Satoshi Nakamoto is (developer)

The ecosystem exists, we know of Satoshi.

The basic principle of Bitcoin ‘is belief’ that nothing is worth something. 

The computing creates the Bitcoin, solving answers. 

✌🏽🙏",2020-12-30 00:38:51+00:00,Argentina,0,0,0,https://twitter.com/volv_e/status/1344080472771596288,[]
jacobwarmstrong,False,661,Lol didn’t know Cramer was a bitcoiner #Bitcoin https://t.co/vEm9kYuo8J,2020-11-24 21:31:33+00:00,Canada,0,0,0,https://twitter.com/jacobwarmstrong/status/1331349763783077890,['Bitcoin']
tc_richard13,False,48,I’ll see you in 30K tomorrow fellas 🚀🚀🚀🚀 $BTC https://t.co/waaDbGu2Eo,2020-12-30 23:39:09+00:00,Argentina,0,0,1,https://twitter.com/tc_richard13/status/1344427836858368001,[]
skyrenz007,False,1573,@cctip_io #BTC $BTC $ETH,2020-03-04 10:23:16+00:00,Israel,0,0,0,https://twitter.com/skyrenz007/status/1235148800106217473,['BTC']
aeiddias,False,1714,It seems Tesla shares are this year’s Bitcoin.,2020-12-05 15:35:37+00:00,Switzerland,1,0,0,https://twitter.com/aeiddias/status/1335246457562161153,[]
DR6am,False,6262,"$BTC Is getting to the defining moment before ... 🤯

#BTC #BITCOIN https://t.co/jRliYUcACa",2020-12-30 23:34:22+00:00,Argentina,1,0,6,https://twitter.com/DR6am/status/1344426634569543689,"['BTC', 'BITCOIN']"
MIGmanagement,False,4680,"Check the NEW
 $DOGE ATM MACHINE ....
ITS HAPPENING !!!!! #ElonMusk
@elonmusk @tyler 

$ETH $VET $DOGE $LTC $BTC $PAN $BCH $TRX $XEM $ETC $WAVES $REN $CHZ $DNT $MANA $CVC $OXT #altseason #DeFi #Bitcoin https://t.co/4UChtf2eDA",2020-12-30 23:37:54+00:00,Argentina,1,1,5,https://twitter.com/MIGmanagement/status/1344427524764405764,"['ElonMusk', 'altseason', 'DeFi', 'Bitcoin']"
fooledbymarkets,False,256,"Ok guys, this “up only” is scaring the hell outta me... when the fk are we going to retest 20k? I mean, it has to be done, hasn’t it?!? Where are our famous MAXIMUM PAIN market? I miss those 30~40% corrections on $btc #bitcoin",2020-12-30 23:53:47+00:00,Argentina,0,0,0,https://twitter.com/fooledbymarkets/status/1344431522695278598,['bitcoin']
dhodikariel,False,2204,"I just found out there's a Discord group with 170,000+ members manipulating the market. They have pumped Bitcoin, $XRP, $ETH, $GRT and more. See for yourself: https://t.co/G4KvQu32ky"" https://t.co/j5Kq75hR3C https://t.co/hpi6sDnRmr",2020-12-30 23:58:56+00:00,Argentina,0,0,0,https://twitter.com/dhodikariel/status/1344432818160427009,[]
JPM_72,False,380,"@SahilBloom Satoshi Nakamoto.  There may be some booze, games of chance.  I may come away with the keys to the establishment.",2020-12-30 01:41:16+00:00,Argentina,0,0,0,https://twitter.com/JPM_72/status/1344096180750462977,[]
CryptoMikey888,False,1436,"Took a few months for #EOS to get there but we ended up getting to $2!

#Bitcoin #BTC  #BTCUSDT #BTCUSD #BTCUSDT #Crypto #cryptocurrencies #cryptotrading $btcusd https://t.co/9F8OSiuP6s",2020-12-30 01:53:23+00:00,Argentina,1,0,0,https://twitter.com/CryptoMikey888/status/1344099230634233858,"['EOS', 'Bitcoin', 'BTC', 'BTCUSDT', 'BTCUSD', 'BTCUSDT', 'Crypto', 'cryptocurrencies', 'cryptotrading']"
Sonicfrootz66,False,1009,"@bitcoin_brown Make em a cuppa and a biscuit ... 

Then leg it out the back door 😂😂😂

Joking ... 

Honesty pays in the long run... trust me... I know  ! 

#RealLife 🙌🏾💯🙏",2020-12-30 23:55:49+00:00,Argentina,0,0,0,https://twitter.com/Sonicfrootz66/status/1344432031074299910,['RealLife']
checkerhd,False,531,"... they have complained to me about VVP.
They infect all networks.
Working with sex and pornography on large platforms.
Possibly money laundering via bitcoin.

Maybe Arms over the darknet.",2020-01-20 05:20:52+00:00,Switzerland,1,0,0,https://twitter.com/checkerhd/status/1219127631947452417,[]
macman_returns,False,346,Bitcoin doing crazy numbers,2020-12-17 19:51:44+00:00,United States,0,0,0,https://twitter.com/macman_returns/status/1339659562459271175,[]
king_khan021,False,6,"$29500
@laddu_moni
@suhed_abu
@SBCBPromoter
#BTCUSD #BTC 
Done https://t.co/NQS3sHow5w",2020-12-30 14:31:07+00:00,Argentina,0,0,1,https://twitter.com/king_khan021/status/1344289922488832000,"['BTCUSD', 'BTC']"
